RefDes,Qty,Value,Package,Description
U1,1,STM32F103C8T6,LQFP48,Main microcontroller
U2,1,AMS1117-3.3,SOT-223,5V to 3.3V regulator
U3,1,L9110S module,Module,"Dual H-bridge, 1 channel used"
U4,1,0.96in SSD1306,Module,"128x64 OLED, I2C addr 0x78"
U5,1,AT24C32 module,Module,"4 KB I2C EEPROM, addr 0xA0"
M1,1,130 DC motor,130,"3-6 V toy motor, needs gearing"
Y1,1,8 MHz,HC-49S,HSE crystal
SW1,1,Reset,SMD 3x6,Reset button
SW2,1,KW12-3,Micro,"Open limit switch, NC contact"
SW3,1,KW12-3,Micro,"Close limit switch, NC contact"
SW4,1,Tactile,SMD 3x6,KEY1 start/stop
SW5,1,Tactile,SMD 3x6,KEY2 mode
SW6,1,Tactile,SMD 3x6,KEY3 manual open
SW7,1,Tactile,SMD 3x6,KEY4 manual close / e-stop
SW8,1,Tactile,SMD 3x6,Simulated outside sensor
SW9,1,Tactile,SMD 3x6,Simulated inside sensor
LS1,1,Active buzzer,12mm,Built-in oscillator
D1,1,SS34,SMA,Motor flyback
D2,1,LED red,0805,Status LED
C1,1,470uF/16V,Elec 8mm,Motor rail bulk
C2,1,100nF,0805,Motor rail HF
C3,1,10uF/10V,0805,Regulator input
C4,1,10uF/10V,0805,Regulator output
C5,4,100nF,0805,One per MCU VDD pin
C6,1,10uF,0805,MCU bulk
C7,2,22pF,0805,Crystal load
C8,1,100nF,0805,NRST
C9,2,100nF,0805,Limit input debounce
C10,6,100nF,0805,Button/sensor debounce
R1,1,10k,0805,NRST pull-up
R2,2,10k,0805,Limit pull-ups
R3,6,10k,0805,Button/sensor pull-ups
R4,1,1k,0805,LED series
R5,1,1k,0805,Buzzer base
R6,2,10k,0805,I2C pull-ups
R7,2,10k,0805,BOOT0/BOOT1 pull-downs
J1,1,XH2.54-2P,THT,5V power input
J2,1,1x4 header,2.54mm,SWD: 3V3/SWDIO/SWCLK/GND
J3,1,1x4 header,2.54mm,Console: GND/TX/RX/5V
J4,1,1x2 header,2.54mm,Motor output
J5,2,1x2 header,2.54mm,Limit switch inputs
